PaperID,ShortKey,Year,Title,Journal,OpenAlexJournal,DOI,URL,Theme,QuartileEvidence,ReadingBasis,LocalFile,ModuleLink,KeyFinding,UseInOurPaper,LimitationsForUse,OpenAlexYear,OpenAlexCitedBy,AbstractAvailable,OpenAccessPDF,OpenAccessLanding,关键发现,在本文中的可能用法
P01,Wang_EC_NHRH_Ki67_2024,2024,Ultrasound combined with Ki-67 to construct the prognostic model for radioactive iodine therapy outcomes in Graves' disease patients,Endocrine Connections,Endocrine Connections,10.1530/EC-23-0429,https://doi.org/10.1530/EC-23-0429,Direct RAI/NHRH endpoint,"Endocrinology journal; likely Q2 or above, verify manually",local PDF + metadata,ref_paper/pdfs/2024_Wang_EndocrineConnections_NHRH_Ki67_ultrasound_EC-23-0429.pdf,M1/M2 endpoint justification,NHRH is operationalized as a clinically relevant adverse endpoint; imaging/proliferation features can add risk information beyond routine variables.,Supports our NHRH endpoint definition and the need to report calibration/clinical utility rather than AUC alone.,Smaller single-center cohort and imaging/Ki-67 features are not directly available in our baseline table.,2023,2,yes,https://ec.bioscientifica.com/downloadpdf/journals/ec/aop/ec-23-0429/ec-23-0429.pdf,https://doi.org/10.1530/ec-23-0429,NHRH 可作为 RAI 后未愈合或复发的临床复合不良结局；影像、Ki-67 与常规临床变量可共同提供风险信息。,可能用于支撑本文 NHRH 复合终点定义，并说明为何需要同时报告校准和临床效用。
P02,Shen_HCS_NHRH_Sex_2025,2025,Sex-related differences in risk factors associated with nonhealing or recurrence of hyperthyroidism in patients with Graves' disease treated with radioactive iodine,Health Care Science,Health care science,10.1002/hcs2.70021,https://doi.org/10.1002/hcs2.70021,Direct RAI/NHRH endpoint,Wiley clinical science journal; verify current JCR/SJR manually,local HTML + metadata,ref_paper/html/2025_Shen_HealthCareScience_NHRH_sex_related_DOAJ.html,M1/M2 endpoint and subgroup discussion,"NHRH is treated as a failure/recurrence composite, and risk factors can differ by sex.",Directly supports the terminology and clinical meaning of the composite endpoint.,Not a dynamic landmark model; subgroup findings should not be imported into our dataset without testing.,2025,0,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hcs2.70021,https://doi.org/10.1002/hcs2.70021,NHRH 被明确作为治疗失败或复发复合终点处理，并提示不同性别的风险因素可能不同。,可能用于补充 NHRH 术语来源、临床含义以及亚组异质性讨论。
P03,Yu_Frontiers_NonRemission_2024,2024,Nomogram construction and evaluation for predicting non-remission after a single radioactive iodine therapy for Graves' hyperthyroidism,Frontiers in Endocrinology,Frontiers in Endocrinology,10.3389/fendo.2024.1391014,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1391014/full,RAI nomogram / non-remission,Frontiers in Endocrinology is commonly indexed in endocrine Q2/Q1 contexts; verify current local quartile manually,local PDF + full-text webpage,ref_paper/pdfs/2024_Yu_Frontiers_non_remission_single_RAI_1391014.pdf,M1 variable rationale and benchmark,"RAIU, effective half-life, total iodine dose and iodine dose per gram are clinically meaningful predictors in RAI outcome prediction.",Supports inclusion and cautious interpretation of RAI physiology and dose-density variables.,Validation design and endpoint timing differ from our temporal split and 24M NHRH framing.,2024,2,yes,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2024.1391014/pdf,https://doi.org/10.3389/fendo.2024.1391014,RAIU、有效半衰期、总碘剂量和单位甲状腺剂量等 RAI 生理变量与 non-remission 风险相关。,可能用于解释 Module 1 中 RAI 摄取、剂量密度和甲状腺负荷变量的临床合理性。
P04,Wang_Frontiers_NCR_2025,2025,A prognostic nomogram model for non-complete remission following initial radioiodine therapy in Graves' hyperthyroidism,Frontiers in Endocrinology,Frontiers in Endocrinology,10.3389/fendo.2025.1692702,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1692702/full,Early response / non-complete remission,Frontiers in Endocrinology; verify current local quartile manually,local PDF + full-text webpage,ref_paper/pdfs/2025_Wang_Frontiers_non_complete_remission_nomogram_1692702.pdf,M2 landmark updater,Early FT3/FT4 decline and RAI physiology variables help identify non-complete remission.,Supports the claim that early treatment response should update long-term risk instead of relying only on baseline predictors.,Uses a single early window and random/internal validation rather than a full temporal landmark trajectory.,2025,1,yes,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1692702/pdf,https://doi.org/10.3389/fendo.2025.1692702,治疗后早期 FT3/FT4 下降及 RAI 生理变量有助于识别 non-complete remission。,可能用于支撑 Module 2 的核心论点：早期治疗反应应更新长期 NHRH 风险，而不是只看 baseline。
P05,Liao_Frontiers_Refractory_2025,2025,Development and validation of a nomogram prediction model for factors influencing 131I-refractory Graves' hyperthyroidism,Frontiers in Endocrinology,Frontiers in Endocrinology,10.3389/fendo.2025.1628226,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1628226/full,Refractory Graves after RAI,Frontiers in Endocrinology; verify current local quartile manually,local PDF + full-text webpage,ref_paper/pdfs/2025_Liao_Frontiers_131I_refractory_nomogram_1628226.pdf,Related endpoint family,"Routine clinical and RAI-related variables can stratify refractory risk, but definitions differ from NHRH.",Useful for related-work discussion and endpoint taxonomy.,"Endpoint is refractory disease, not exactly our composite NHRH or rolling H1 relapse.",2025,1,yes,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1628226/pdf,https://doi.org/10.3389/fendo.2025.1628226,常规临床和 RAI 相关变量可分层难治性 Graves 风险，但 endpoint 与 NHRH 并不完全相同。,可能用于 related work 中梳理 non-remission、refractory 和 NHRH 等相邻 endpoint 的边界。
P06,Ma_Frontiers_TRAb_2025,2025,Impact of serum TRAb level changes on the efficacy of 131I therapy in Graves' disease: a decision tree prediction model,Frontiers in Endocrinology,Frontiers in Endocrinology,10.3389/fendo.2025.1581353,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1581353/full,TRAb trajectory / RAI efficacy,Frontiers in Endocrinology; verify current local quartile manually,local PDF + full-text webpage,ref_paper/pdfs/2025_Ma_Frontiers_TRAb_change_decision_tree_1581353.pdf,M2/M3 biomarker trajectory interpretation,TRAb change patterns carry prognostic information for post-RAI response.,Supports the biomarker-trajectory language used in our Module 2/3 discussion.,The model form and endpoint are not the same as our temporal landmark and H1 monitoring tasks.,2025,0,yes,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1581353/pdf,https://doi.org/10.3389/fendo.2025.1581353,TRAb 的动态变化模式与 RAI 后疗效相关，支持把 TRAb 视为纵向 biomarker 而非单点变量。,可能用于支持 Module 2/3 中 TRAb 轨迹特征和免疫机制解释，但不直接作为模型优越性证据。
P07,Lu_Frontiers_ML_RAI_2025,2025,From data to decision: an interpretable machine learning model for optimizing RAI therapy in Graves' hyperthyroidism,Frontiers in Endocrinology,Frontiers in Endocrinology,10.3389/fendo.2025.1711029,https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1711029/full,Interpretable ML RAI benchmark,Frontiers in Endocrinology; verify current local quartile manually,local PDF + full-text webpage,ref_paper/pdfs/2025_Lu_Frontiers_interpretable_ML_RAI_1711029.pdf,M1 advanced ML benchmark and discussion,Nonlinear models can perform well in internal/random validation settings for RAI outcome prediction.,"Justifies our inclusion of nonlinear ML benchmarks and SHAP, while motivating temporal validation.",Likely less stringent temporal validation than our Module 1/2/3 design; endpoint definitions differ.,2026,0,yes,https://public-pages-files-2025.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2025.1711029/pdf,https://doi.org/10.3389/fendo.2025.1711029,非线性机器学习和可解释性工具可用于 RAI 结局预测，但验证方式和 endpoint 需要谨慎比较。,可能用于说明为何需要加入高级 ML benchmark 和 SHAP，同时强调 temporal validation 更严格。
P08,Duan_EC_EarlyHypothyroid_2022,2022,Machine learning identifies baseline clinical features that predict early hypothyroidism in patients with Graves' disease after radioiodine therapy,Endocrine Connections,Endocrine Connections,10.1530/EC-22-0119,https://doi.org/10.1530/EC-22-0119,RAI ML / opposite endpoint,"Endocrine Connections; likely Q2 in endocrine contexts, verify manually",local PDF + metadata,ref_paper/pdfs/2022_Duan_EndocrineConnections_ML_early_hypothyroidism_EC-22-0119.pdf,M1 ML benchmark context,Routine baseline features contain signal for early post-RAI thyroid state.,"Methodological comparator for feature engineering, ML benchmark and interpretability.",Endpoint direction is opposite to NHRH; cannot be used as direct efficacy comparator.,2022,14,yes,https://ec.bioscientifica.com/downloadpdf/journals/ec/11/5/EC-22-0119.pdf,https://doi.org/10.1530/ec-22-0119,RAI 前基线临床特征已包含一定的术后甲功状态预测信号。,可能作为同病种 ML 建模参照，用于说明 baseline feature engineering 和可解释性做法。
P09,Feng_IJE_PredictiveFactors_2024,2024,Predictive Factors for the Efficacy of Radioactive Iodine Treatment of Graves' Disease,International Journal of Endocrinology,International Journal of Endocrinology,10.1155/2024/7535093,https://doi.org/10.1155/2024/7535093,RAI clinical predictors,International Journal of Endocrinology; verify current quartile manually,metadata / open access article,,M1/M2 variable rationale,Thyroid burden and dose-density physiology are relevant to RAI response.,Supports our interpretation that thyroid weight and dose per thyroid tissue are clinically grounded predictors.,Endpoint and validation may differ; not a dynamic landmark framework.,2024,8,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1155/2024/7535093,https://doi.org/10.1155/2024/7535093,甲状腺负荷和剂量密度类变量是 RAI 疗效预测中反复出现的临床合理因素。,可能用于支持甲状腺重量、剂量/甲状腺负荷等变量的医学解释。
P10,EANM_Guideline_RAI_2023,2023,The EANM guideline on radioiodine therapy of benign thyroid disease,European Journal of Nuclear Medicine and Molecular Imaging,European Journal of Nuclear Medicine and Molecular Imaging,10.1007/s00259-023-06274-5,https://doi.org/10.1007/s00259-023-06274-5,Guideline / RAI clinical context,"EJNMMI is a high-impact nuclear medicine journal; Q1/Q2, verify manually",local PDF + local HTML,ref_paper/pdfs/2023_EANM_guideline_radioiodine_benign_thyroid_s00259-023-06274-5.pdf,Clinical context and limitations,"RAI management depends on thyroid disease context, dosing, preparation and follow-up.",Supports clinical background and helps avoid overclaiming model use as treatment recommendation.,Guideline does not validate our prediction model.,2023,62,yes,https://link.springer.com/content/pdf/10.1007/s00259-023-06274-5.pdf,https://doi.org/10.1007/s00259-023-06274-5,RAI 治疗决策需要综合疾病背景、剂量、准备过程和随访管理。,可能用于临床背景和限制性表述，避免把模型写成治疗剂量因果推荐器。
P11,ATA_Hyperthyroidism_Guideline_2016,2016,2016 American Thyroid Association Guidelines for Diagnosis and Management of Hyperthyroidism and Other Causes of Thyrotoxicosis,Thyroid,Thyroid,10.1089/thy.2016.0229,https://pubmed.ncbi.nlm.nih.gov/27521067/,Guideline / Graves management,"Thyroid is a leading endocrine journal; Q1/Q2, verify manually",PubMed/guideline,,Clinical boundary and discussion,"Management of Graves disease requires integration of labs, clinical state, therapy choice and follow-up.",Supports our conservative clinical-use boundary.,Not a ML/prediction paper.,2016,2815,yes,https://www.liebertpub.com/doi/pdf/10.1089/thy.2016.0229,https://doi.org/10.1089/thy.2016.0229,Graves 病管理需要联合实验室指标、临床状态、治疗选择和随访信息。,可能用于定义 Graves 管理边界，说明模型只能辅助风险分层，不能替代临床决策。
P12,GREAT_ExternalValidation_2017,2017,External validation of the GREAT score to predict relapse risk in Graves' disease,European Journal of Endocrinology,European Journal of Endocrinology,10.1530/EJE-16-0986,https://doi.org/10.1530/EJE-16-0986,Risk score / Graves relapse,"European Journal of Endocrinology is high-impact endocrine journal; Q1/Q2, verify manually",metadata + known external-validation article,,Risk-score precedent,Simple clinical risk scores can stratify relapse risk but require external validation.,Supports our emphasis on interpretable risk tiers and external-validation limitations.,Therapy setting differs from our RAI cohort.,2017,69,yes,,,简单临床风险评分可进行复发风险分层，但需要外部验证。,可能用于支撑本文采用可解释风险层级和强调外部验证必要性的写法。
P13,RAI_Failure_MetaAnalysis_2021,2022,Predictive factors of radioiodine therapy failure in Graves' Disease: A meta-analysis,The American Journal of Surgery,The American Journal of Surgery,10.1016/j.amjsurg.2021.03.068,https://www.sciencedirect.com/science/article/pii/S0002961021002294,RAI failure meta-analysis,Clinical specialty journal; verify current quartile manually,title/abstract metadata,,Related work and feature plausibility,Several baseline severity and thyroid-burden variables recur across RAI failure studies.,Supports clinical plausibility of our core features and cautions against overinterpreting a single predictor.,Definitions and study designs are heterogeneous; it does not test our three-module framework.,2021,31,yes,,,RAI 失败研究中反复出现基线严重程度、甲状腺负荷和剂量相关因素，但研究间异质性明显。,可能用于说明 core feature 的临床可解释性，同时提醒不要过度解读单个预测因子。
P14,Putter_Landmarking2_2022,2022,Landmarking 2.0: Bridging the gap between joint models and landmarking,Statistics in Medicine,Statistics in Medicine,10.1002/sim.9336,https://pubmed.ncbi.nlm.nih.gov/35098578/,Landmark dynamic prediction methodology,"Statistics in Medicine is a leading biostatistics journal; Q1/Q2, verify manually",PubMed abstract + methods article,,M2/M3 methodology,Landmarking can update risk predictions using time-dependent biomarker summaries without requiring a fully specified joint model.,Directly supports Module 2/3 as landmark updaters rather than separate unrelated classifiers.,Methodological paper; our implementation uses pragmatic ML/logistic approximations rather than the full formal framework.,2022,19,yes,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/sim.9336,https://doi.org/10.1002/sim.9336,Landmarking 可在新 biomarker 到来时更新风险预测，同时避免完整联合模型的复杂分布假设。,可能用于支撑 Module 2/3 的 landmark updater 叙事，而不是把多个地标模型写成彼此割裂的模型。
P15,Devaux_BMC_Landmark_ML_2022,2022,Individual dynamic predictions of clinical endpoint from large dimensional longitudinal biomarker history: a landmark approach,BMC Medical Research Methodology,BMC Medical Research Methodology,10.1186/s12874-022-01660-3,https://doi.org/10.1186/s12874-022-01660-3,Landmark + longitudinal biomarker summaries,BMC Medical Research Methodology is a recognized methods journal; verify quartile manually,open access methods article,,M2/M3 biomarker trajectory methods,Summaries of individual biomarker trajectories can be incorporated into dynamic prediction models.,Supports our trajectory momentum design and biomarker family ablation language.,Not specific to Graves disease or RAI.,2022,18,yes,https://bmcmedresmethodol.biomedcentral.com/counter/pdf/10.1186/s12874-022-01660-3,https://doi.org/10.1186/s12874-022-01660-3,个体纵向 biomarker 轨迹可通过摘要特征进入动态预测模型。,可能用于支撑 trajectory summary / momentum 特征的写法，尤其是 current、delta、slope、AUC、rebound 等摘要。
P16,Rizopoulos_DynamicPrediction_JointModels_2011,2011,Dynamic predictions and prospective accuracy in joint models for longitudinal and time-to-event data,Biometrics,Biometrics,10.1111/j.1541-0420.2010.01546.x,https://doi.org/10.1111/j.1541-0420.2010.01546.x,Dynamic prediction / joint models,"Biometrics is a leading statistics journal; Q1/Q2, verify manually",metadata/abstract,,Dynamic prediction background,"Risk prediction can be updated as new longitudinal measurements arrive, and accuracy should be assessed in a time-aware manner.","Supports the overall dynamic-risk concept, while our approach remains landmark-based rather than full joint modeling.",Our endpoints are binary/rolling landmark tasks rather than a fully censored survival joint model.,2011,451,yes,,,风险预测应随新的纵向测量更新，并用时间敏感方式评价预测性能。,可能作为动态预测和联合模型背景，说明本文采用更务实的 landmark 近似而非完整 joint model。
P17,vanHouwelingen_Landmarking_2007,2007,Dynamic prediction by landmarking in event history analysis,Scandinavian Journal of Statistics,Scandinavian Journal of Statistics,10.1111/j.1467-9469.2006.00529.x,https://doi.org/10.1111/j.1467-9469.2006.00529.x,Landmarking foundation,Scandinavian Journal of Statistics is a recognized statistics journal; verify quartile manually,metadata/abstract,,Landmark method foundation,Landmarking provides a transparent framework for dynamic prediction without using future information.,Supports our time-safe 0M/1M/3M/6M and rolling landmark structure.,Classical survival/event-history framing differs from our pragmatic binary and rolling classification outputs.,2006,321,yes,,,Landmarking 是一种透明的动态预测框架，核心是只使用 landmark 时点以前的信息。,可能用于支撑时间安全设计和“不使用未来信息”的方法学原则。
P18,VanCalster_Calibration_2019,2019,Calibration: the Achilles heel of predictive analytics,BMC Medicine,BMC Medicine,10.1186/s12916-019-1466-7,https://doi.org/10.1186/s12916-019-1466-7,Calibration methodology,"BMC Medicine is high-impact; Q1/Q2, verify manually",open access review,,M1/M2/M3 calibration reporting,"Discrimination can be good while probabilities are poorly calibrated; calibration curves, intercepts, slopes and Brier scores matter.",Supports our decision to report Brier/calibration in every module.,"General methodology, not thyroid-specific.",2019,1783,yes,https://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1466-7,https://doi.org/10.1186/s12916-019-1466-7,判别能力好不等于概率可用；校准曲线、校准截距/斜率和 Brier 分数是必要评价。,可能用于解释为何三模块均报告 Brier、calibration curve、intercept 和 slope。
P19,Vickers_DCA_2006,2006,Decision curve analysis: a novel method for evaluating prediction models,Medical Decision Making,Medical Decision Making,10.1177/0272989X06295361,https://doi.org/10.1177/0272989X06295361,Decision curve analysis,"Medical Decision Making is a recognized decision-science journal; Q1/Q2, verify manually",methods article,,M1/M2/M3 DCA,DCA compares model use against treat-all and treat-none strategies across threshold probabilities.,Supports our DCA panels and the claim that clinical threshold utility is part of model assessment.,DCA requires clinically meaningful threshold ranges and does not prove causal treatment benefit.,2006,5310,yes,,https://www.ncbi.nlm.nih.gov/pmc/articles/2577036,DCA 可在不同阈值概率下比较模型、treat-all 和 treat-none 的净获益。,可能用于解释 DCA 图和阈值范围下净获益的临床意义。
