PaperID,Decision,Reason,Q2PlusEvidence,NeedsManualQuartileCheck
P01,include,Direct RAI/NHRH endpoint,"Endocrinology journal; likely Q2 or above, verify manually",yes
P02,include,Direct RAI/NHRH endpoint,Wiley clinical science journal; verify current JCR/SJR manually,yes
P03,include,RAI nomogram / non-remission,Frontiers in Endocrinology is commonly indexed in endocrine Q2/Q1 contexts; verify current local quartile manually,yes
P04,include,Early response / non-complete remission,Frontiers in Endocrinology; verify current local quartile manually,yes
P05,include,Refractory Graves after RAI,Frontiers in Endocrinology; verify current local quartile manually,yes
P06,include,TRAb trajectory / RAI efficacy,Frontiers in Endocrinology; verify current local quartile manually,yes
P07,include,Interpretable ML RAI benchmark,Frontiers in Endocrinology; verify current local quartile manually,yes
P08,include,RAI ML / opposite endpoint,"Endocrine Connections; likely Q2 in endocrine contexts, verify manually",yes
P09,include,RAI clinical predictors,International Journal of Endocrinology; verify current quartile manually,yes
P10,include,Guideline / RAI clinical context,"EJNMMI is a high-impact nuclear medicine journal; Q1/Q2, verify manually",yes
P11,include,Guideline / Graves management,"Thyroid is a leading endocrine journal; Q1/Q2, verify manually",yes
P12,include,Risk score / Graves relapse,"European Journal of Endocrinology is high-impact endocrine journal; Q1/Q2, verify manually",yes
P13,include,RAI failure meta-analysis,Clinical specialty journal; verify current quartile manually,yes
P14,include,Landmark dynamic prediction methodology,"Statistics in Medicine is a leading biostatistics journal; Q1/Q2, verify manually",yes
P15,include,Landmark + longitudinal biomarker summaries,BMC Medical Research Methodology is a recognized methods journal; verify quartile manually,yes
P16,include,Dynamic prediction / joint models,"Biometrics is a leading statistics journal; Q1/Q2, verify manually",yes
P17,include,Landmarking foundation,Scandinavian Journal of Statistics is a recognized statistics journal; verify quartile manually,yes
P18,include,Calibration methodology,"BMC Medicine is high-impact; Q1/Q2, verify manually",yes
P19,include,Decision curve analysis,"Medical Decision Making is a recognized decision-science journal; Q1/Q2, verify manually",yes
P20,include,Imbalanced evaluation / PR-AUC,PLOS ONE is broad peer-reviewed journal; verify current quartile manually,yes
P21,include,Reporting guideline,BMJ is a top-tier medical journal,no
P22,include,Risk of bias / applicability,BMJ is a top-tier medical journal,no
P23,include,Prediction model reporting,Annals of Internal Medicine is top-tier,no
P24,include,Risk of bias / prediction models,Annals of Internal Medicine is top-tier,no
P25,include,Prediction model sample size,"Statistics in Medicine is a leading biostatistics journal; Q1/Q2, verify manually",yes
P26,include,Prediction performance framework,Epidemiology is a high-quality methods journal; verify quartile manually,yes
P27,include,Prediction validation / heterogeneity,"Statistics in Medicine; Q1/Q2, verify manually",yes
P28,include,Clinical ML with longitudinal EHR,"npj Digital Medicine is a high-impact digital medicine journal; Q1/Q2, verify manually",yes
P29,include,Longitudinal EHR representation learning,Scientific Reports is broad peer-reviewed journal; verify current quartile manually,yes
P30,include,Clinical dynamic prediction example,"Epidemiology is a leading epidemiology journal; Q1/Q2, verify current local quartile manually",yes
