Journal,Q2PlusStatus,Evidence,EvidenceURL
Annals of Internal Medicine,Top-tier supported,Top-tier general/internal medicine journal; accepted as above Q2 for reporting and risk-of-bias tools.,https://www.acpjournals.org/journal/aim
BMC Medical Research Methodology,Q1/Q2 methods supported,Recognized medical methodology journal used for prediction-method articles.,https://bmcmedresmethodol.biomedcentral.com/
BMC Medicine,Q1/top medical supported,High-impact BMC medical journal; manual current JCR/CAS check can be added if required.,https://bmcmedicine.biomedcentral.com/
BMJ,Top-tier supported,Top-tier general medical journal; accepted as above Q2 for reporting/risk-of-bias statements.,https://www.bmj.com/
Biometrics,Q1/Q2 methods supported,Leading biostatistics journal used for dynamic prediction and joint-model methodology.,https://academic.oup.com/biometrics
Endocrine Connections,Q2+ plausible,Peer-reviewed endocrine journal indexed in major databases; manual JCR/CAS check recommended for exact year.,https://ec.bioscientifica.com/
Epidemiology,Q1/Q2 methods supported,High-quality epidemiology journal; dynamic prediction and performance framework papers included for methodological analogy.,https://journals.lww.com/epidem/
European Journal of Endocrinology,Q1 supported,Leading European endocrine journal; public metrics commonly place it above Q2.,https://academic.oup.com/ejendo
European Journal of Nuclear Medicine and Molecular Imaging,Q1 supported,Leading nuclear medicine journal; public SJR/JCR-style metrics commonly report Q1.,https://link.springer.com/journal/259
Frontiers in Endocrinology,Q1/Q2 supported,Endocrinology journal with public SJR/JCR-style quartile evidence; use institutional JCR/CAS for final partition wording.,https://www.frontiersin.org/journals/endocrinology
Health Care Science,Q2 supported,Wiley clinical science journal with public quartile evidence; current institutional verification still recommended.,https://onlinelibrary.wiley.com/journal/27706760
International Journal of Endocrinology,Q2 supported,Endocrinology-focused journal with public quartile evidence; manual current quartile check recommended.,https://www.hindawi.com/journals/ije/
Medical Decision Making,Q1/Q2 methods supported,Core decision-science journal; foundational DCA article included for method relevance.,https://journals.sagepub.com/home/mdm
PLOS ONE,Q1/Q2 broad journal supported,Peer-reviewed broad journal; PR-AUC paper is highly cited and methodologically central.,https://journals.plos.org/plosone/
Scandinavian Journal of Statistics,Q1/Q2 methods supported,Recognized statistics journal; landmarking foundation article included for method relevance.,https://onlinelibrary.wiley.com/journal/14679469
Scientific Reports,Q1/Q2 broad journal supported,Nature Portfolio broad peer-reviewed journal; included for classic EHR representation learning.,https://www.nature.com/srep/
Statistics in Medicine,Q1/Q2 methods supported,Leading biostatistics journal used for prediction methodology.,https://onlinelibrary.wiley.com/journal/10970258
The American Journal of Surgery,Q1/Q2 clinical journal supported,Clinical surgery journal; RAI failure meta-analysis included for feature evidence. Manual current quartile check recommended.,https://www.sciencedirect.com/journal/the-american-journal-of-surgery
Thyroid,Q1 supported,Leading thyroid/endocrinology journal and guideline venue.,https://home.liebertpub.com/publications/thyroid/55
npj Digital Medicine,Q1/top digital medicine supported,High-impact Nature Portfolio digital medicine journal.,https://www.nature.com/npjdigitalmed/
