Branch,Feature,特征类别,英文特征名,中文含义
static,Sex,治疗前静态背景,static::Sex,患者性别
static,Age,治疗前静态背景,static::Age,患者年龄
static,Height,治疗前静态背景,static::Height,身高
static,Weight,治疗前静态背景,static::Weight,体重
static,BMI,治疗前静态背景,static::BMI,体质指数
static,Exophthalmos,治疗前静态背景,static::Exophthalmos,是否合并突眼症
static,ThyroidW,治疗前静态背景,static::ThyroidW,甲状腺重量/体积负荷
static,RAI3d,治疗前静态背景,static::RAI3d,治疗后第 3 天残余辐射量
static,TreatCount,治疗前静态背景,static::TreatCount,既往放射性碘治疗次数
static,TGAb,治疗前静态背景,static::TGAb,治疗前甲状腺球蛋白抗体（TGAb）
static,TPOAb,治疗前静态背景,static::TPOAb,治疗前甲状腺过氧化物酶抗体（TPOAb）
static,TRAb,治疗前静态背景,static::TRAb,治疗前促甲状腺激素受体抗体（TRAb）
static,Uptake24h,治疗前静态背景,static::Uptake24h,24 小时碘摄取率
static,MaxUptake,治疗前静态背景,static::MaxUptake,最大碘摄取率
static,HalfLife,治疗前静态背景,static::HalfLife,放射性碘有效半衰期
static,Dose,治疗前静态背景,static::Dose,放射性碘治疗剂量
local,FT3_Current,当前甲功/近期变化,local::FT3_Current,当前 FT3（游离三碘甲状腺原氨酸）
local,FT4_Current,当前甲功/近期变化,local::FT4_Current,当前 FT4（游离甲状腺素）
local,logTSH_Current,当前甲功/近期变化,local::logTSH_Current,当前 TSH 的对数变换
local,Delta_FT4_1step,当前甲功/近期变化,local::Delta_FT4_1step,最近一步 FT4 变化
local,Delta_TSH_1step,当前甲功/近期变化,local::Delta_TSH_1step,最近一步 TSH 变化
local,Window_12M->18M,窗口0/1开关,local::Window_12M->18M,0/1 开关：当前预测区间是 12M->18M 时为 1，否则为 0。
local,Window_18M->24M,窗口0/1开关,local::Window_18M->24M,0/1 开关：当前预测区间是 18M->24M 时为 1，否则为 0。
local,Window_1M->3M,窗口0/1开关,local::Window_1M->3M,0/1 开关：当前预测区间是 1M->3M 时为 1，否则为 0。
local,Window_3M->6M,窗口0/1开关,local::Window_3M->6M,0/1 开关：当前预测区间是 3M->6M 时为 1，否则为 0。
local,Window_6M->12M,窗口0/1开关,local::Window_6M->12M,0/1 开关：当前预测区间是 6M->12M 时为 1，否则为 0。
local,PrevState_0,当前状态0/1开关,local::PrevState_0,当前窗口起点为甲亢/Hyper 时为 1，否则为 0。
local,PrevState_1,当前状态0/1开关,local::PrevState_1,当前窗口起点为正常/Normal 时为 1，否则为 0。
local,PrevState_2,当前状态0/1开关,local::PrevState_2,当前窗口起点为甲减/Hypo 时为 1，否则为 0。
global,Time_In_Normal,累计病程摘要,global::Time_In_Normal,截至当前窗口，患者此前处于正常甲功状态的累计次数
global,FT3_Current,当前甲功/近期变化,global::FT3_Current,当前 FT3（游离三碘甲状腺原氨酸）
global,Delta_TSH_k0,当前甲功/近期变化,global::Delta_TSH_k0,当前 TSH 相对基线变化
global,FT4_Current,当前甲功/近期变化,global::FT4_Current,当前 FT4（游离甲状腺素）
global,logTSH_Current,当前甲功/近期变化,global::logTSH_Current,当前 TSH 的对数变换
global,Prior_Relapse_Count,累计病程摘要,global::Prior_Relapse_Count,此前复发次数
global,Ever_Hyper_Before,累计病程摘要,global::Ever_Hyper_Before,此前是否出现过甲亢状态
global,Ever_Hypo_Before,累计病程摘要,global::Ever_Hypo_Before,此前是否出现过甲减状态
global,Start_Time,累计病程摘要,global::Start_Time,当前 landmark 时间（月）
global,Interval_Width,累计病程摘要,global::Interval_Width,当前预测区间宽度（月）
global,CoreWindow_1M->3M,窗口0/1开关,global::CoreWindow_1M->3M,0/1 开关：当前预测区间是 1M->3M 时为 1，否则为 0。
global,Time_In_Normal_x_CoreWindow_1M->3M,窗口特异特征,global::Time_In_Normal_x_CoreWindow_1M->3M,1M->3M 窗口专用版的“截至当前窗口，患者此前处于正常甲功状态的累计次数”：当前预测区间是 1M->3M 时，取原特征数值；不是这个窗口时填 0。
global,FT3_Current_x_CoreWindow_1M->3M,窗口特异特征,global::FT3_Current_x_CoreWindow_1M->3M,1M->3M 窗口专用版的“当前 FT3（游离三碘甲状腺原氨酸）”：当前预测区间是 1M->3M 时，取原特征数值；不是这个窗口时填 0。
global,Delta_TSH_k0_x_CoreWindow_1M->3M,窗口特异特征,global::Delta_TSH_k0_x_CoreWindow_1M->3M,1M->3M 窗口专用版的“当前 TSH 相对基线变化”：当前预测区间是 1M->3M 时，取原特征数值；不是这个窗口时填 0。
global,CoreWindow_3M->6M,窗口0/1开关,global::CoreWindow_3M->6M,0/1 开关：当前预测区间是 3M->6M 时为 1，否则为 0。
global,Time_In_Normal_x_CoreWindow_3M->6M,窗口特异特征,global::Time_In_Normal_x_CoreWindow_3M->6M,3M->6M 窗口专用版的“截至当前窗口，患者此前处于正常甲功状态的累计次数”：当前预测区间是 3M->6M 时，取原特征数值；不是这个窗口时填 0。
global,FT3_Current_x_CoreWindow_3M->6M,窗口特异特征,global::FT3_Current_x_CoreWindow_3M->6M,3M->6M 窗口专用版的“当前 FT3（游离三碘甲状腺原氨酸）”：当前预测区间是 3M->6M 时，取原特征数值；不是这个窗口时填 0。
